The Greatest Show,Hugh Jackman - The Greatest Showman Ensemble,Vik
Rode rozen in de sneeuw,Marva,Omer
Macarena,Los Del Rio,
Take on Me,a-ha,
Bohemian Rhapsody - Remastered 2011,Queen,Vik
Laat De Zon In Je Hart,Willy Sommers,Claude
Jailhouse Rock,Elvis Presley,
Les lacs du Connemara,Michel Sardou,Monique
Moondance - 2013 Remaster,Van Morrison,Ilse
Dancing Queen,ABBA,
Beat It,Michael Jackson,Meter Nathalie
Viva De Romeo's,De Romeo's,
I'm an Albatraoz,AronChupa – Little Sis Nora,
Drink Rode Wijn,Joe Harris,Norbert
Rood,Marco Borsato,
Zanna (feat. Anna Domino) - 2005 Remaster,Luc Van Acker - Anna Domino,Ilse
Gangnam Style (강남스타일),PSY,
Waterval,K3,Hanne
De Pinguïndans - Nederlands,Schiffie & Co,Tom
J'aime la vie,Sandra Kim,
The Sound Of C,Confetti's,Frank
Anne,Clouseau,
abcdefu (angrier),GAYLE,Tante Nathalie
Dance Monkey,Tones And I,Lies
Sweet but Psycho,Ava Max,Lies
Lieve kleine piranha,Gorki,
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit - Sean Paul - Anne-Marie,Lies
Les filles du bord de mer,Arno,Claude
The Best - Edit,Tina Turner,
Après toi,Vicky Leandros,Monique
Sancta Maria,Bobby Prins,Norbert
The Big Empty,For The Fallen Dreams,
Crazy Little Thing Called Love - Remastered 2011,Queen,
Brood voor Morgenvroeg,Bart Peeters,Conny
Don't Stop Me Now - Remastered 2011,Queen,
Shape of You,Ed Sheeran,
Leef,André Hazes Jr.,
Hallelujah,Leonard Cohen,Conny
Sonne,Rammstein,
Een Eiland in Groen en Blauw,JackoBond,Omer
Fragile,Sting,Meter Nathalie
Teardrop,Massive Attack,Tante Nathalie
Can't Hold Us (feat. Ray Dalton),Macklemore - Ryan Lewis,Meter Nathalie
Zij,Marco Borsato,
Feliz Navidad,José Feliciano,Feliz
Hey Jude,The Beatles,
Kabouterdans,Kabouter Plop,Ryan
Samsonrock,Samson & Gert,Ryan
Hard Times - Royalty In Exile,The Scabs,Tante Nathalie
Mil pasos,Soha,Aimée
Si t'étais là,Louane,Aimée
Hold My Hand,Jess Glynne,Feliz
Shallow,Lady Gaga – Bradley Cooper,Feliz
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira - Freshlyground,
The Way to Your Heart,Soulsister,
Rasputin,Majestic – Boney M.,
Vogeltjesdans,De Electronica's,Tom
Het Vliegerlied - Het is weer een mooie dag,Cafe The Block,
I've Only Begun to Fight,Natalia,
You're The First The Last My Everything,Barry White,
Formidable,Stromae,
Nathalie,Gilbert Bécaud,
Pour un flirt,Michel Delpech,
Still D.R.E.,Dr. Dre - Snoop Dogg,
The Writer,Meskerem Mees,Hanne
Je te donne,Jean-Jacques Goldman – Michael Jones,
Bier Is Bitter,Rob De Nijs,Annie
Jan Klaassen De Trompetter,Rob De Nijs,Annie
Savage Love (Laxed - Siren Beat),Jawsh 685 – Jason Derulo,
Veel te mooi,Erik & Sanne,Frank
Hemelsblauw,Will Tura,Omer
I'm Into Folk,The Radios,
Ai Se Eu Te Pego,Michel Teló,
Old Town Road - Remix,Lil Nas X – Billy Ray Cyrus,
Verover Mij - Uit Liefde Voor Muziek,Niels Destadsbader,
't Smidje,Laïs,
